Index  Binary       Word      Braille6  Braille8  ShortBraille8  Braille8NumbersRaised                            
897    01110000001  ice       ⠊⠉⠑       ⣊⣉⣑       ⣊ ⣉ ⣑          2478 1478 1578                                   
898    01110000010  icon      ⠊⠉⠕⠝      ⣊⣉⢕⠝      ⣊ ⣉ ⢕ ⠝        2478 1478 1358 1345                              
899    01110000011  idea      ⠊⠙⠑⠁      ⣊⡙⣑⡁      ⣊ ⡙ ⣑ ⡁        2478 1457 1578 17                                
900    01110000100  identify  ⠊⠙⠑⠝⠞⠊⠋⠽  ⣊⡙⣑⠝⠞⣊⢋⢽  ⣊ ⡙ ⣑ ⠝        2478 1457 1578 1345 2345 2478 1248 134568        
901    01110000101  idle      ⠊⠙⠇⠑      ⣊⡙⡇⣑      ⣊ ⡙ ⡇ ⣑        2478 1457 1237 1578                              
902    01110000110  ignore    ⠊⠛⠝⠕⠗⠑    ⣊⠛⠝⢕⣗⣑    ⣊ ⠛ ⠝ ⢕        2478 1245 1345 1358 123578 1578                  
903    01110000111  ill       ⠊⠇⠇       ⣊⡇⡇       ⣊ ⡇ ⡇          2478 1237 1237                                   
904    01110001000  illegal   ⠊⠇⠇⠑⠛⠁⠇   ⣊⡇⡇⣑⠛⡁⡇   ⣊ ⡇ ⡇ ⣑        2478 1237 1237 1578 1245 17 1237                 
905    01110001001  illness   ⠊⠇⠇⠝⠑⠎⠎   ⣊⡇⡇⠝⣑⢎⢎   ⣊ ⡇ ⡇ ⠝        2478 1237 1237 1345 1578 2348 2348               
906    01110001010  image     ⠊⠍⠁⠛⠑     ⣊⢍⡁⠛⣑     ⣊ ⢍ ⡁ ⠛        2478 1348 17 1245 1578                           
907    01110001011  imitate   ⠊⠍⠊⠞⠁⠞⠑   ⣊⢍⣊⠞⡁⠞⣑   ⣊ ⢍ ⣊ ⠞        2478 1348 2478 2345 17 2345 1578                 
908    01110001100  immense   ⠊⠍⠍⠑⠝⠎⠑   ⣊⢍⢍⣑⠝⢎⣑   ⣊ ⢍ ⢍ ⣑        2478 1348 1348 1578 1345 2348 1578               
909    01110001101  immune    ⠊⠍⠍⠥⠝⠑    ⣊⢍⢍⢥⠝⣑    ⣊ ⢍ ⢍ ⢥        2478 1348 1348 1368 1345 1578                    
910    01110001110  impact    ⠊⠍⠏⠁⠉⠞    ⣊⢍⣏⡁⣉⠞    ⣊ ⢍ ⣏ ⡁        2478 1348 123478 17 1478 2345                    
911    01110001111  impose    ⠊⠍⠏⠕⠎⠑    ⣊⢍⣏⢕⢎⣑    ⣊ ⢍ ⣏ ⢕        2478 1348 123478 1358 2348 1578                  
912    01110010000  improve   ⠊⠍⠏⠗⠕⠧⠑   ⣊⢍⣏⣗⢕⣧⣑   ⣊ ⢍ ⣏ ⣗        2478 1348 123478 123578 1358 123678 1578         
913    01110010001  impulse   ⠊⠍⠏⠥⠇⠎⠑   ⣊⢍⣏⢥⡇⢎⣑   ⣊ ⢍ ⣏ ⢥        2478 1348 123478 1368 1237 2348 1578             
914    01110010010  inch      ⠊⠝⠉⠓      ⣊⠝⣉⢓      ⣊ ⠝ ⣉ ⢓        2478 1345 1478 1258                              
915    01110010011  include   ⠊⠝⠉⠇⠥⠙⠑   ⣊⠝⣉⡇⢥⡙⣑   ⣊ ⠝ ⣉ ⡇        2478 1345 1478 1237 1368 1457 1578               
916    01110010100  income    ⠊⠝⠉⠕⠍⠑    ⣊⠝⣉⢕⢍⣑    ⣊ ⠝ ⣉ ⢕        2478 1345 1478 1358 1348 1578                    
917    01110010101  increase  ⠊⠝⠉⠗⠑⠁⠎⠑  ⣊⠝⣉⣗⣑⡁⢎⣑  ⣊ ⠝ ⣉ ⣗        2478 1345 1478 123578 1578 17 2348 1578          
918    01110010110  index     ⠊⠝⠙⠑⠭     ⣊⠝⡙⣑⠭     ⣊ ⠝ ⡙ ⣑        2478 1345 1457 1578 1346                         
919    01110010111  indicate  ⠊⠝⠙⠊⠉⠁⠞⠑  ⣊⠝⡙⣊⣉⡁⠞⣑  ⣊ ⠝ ⡙ ⣊        2478 1345 1457 2478 1478 17 2345 1578            
920    01110011000  indoor    ⠊⠝⠙⠕⠕⠗    ⣊⠝⡙⢕⢕⣗    ⣊ ⠝ ⡙ ⢕        2478 1345 1457 1358 1358 123578                  
921    01110011001  industry  ⠊⠝⠙⠥⠎⠞⠗⠽  ⣊⠝⡙⢥⢎⠞⣗⢽  ⣊ ⠝ ⡙ ⢥        2478 1345 1457 1368 2348 2345 123578 134568      
922    01110011010  infant    ⠊⠝⠋⠁⠝⠞    ⣊⠝⢋⡁⠝⠞    ⣊ ⠝ ⢋ ⡁        2478 1345 1248 17 1345 2345                      
923    01110011011  inflict   ⠊⠝⠋⠇⠊⠉⠞   ⣊⠝⢋⡇⣊⣉⠞   ⣊ ⠝ ⢋ ⡇        2478 1345 1248 1237 2478 1478 2345               
924    01110011100  inform    ⠊⠝⠋⠕⠗⠍    ⣊⠝⢋⢕⣗⢍    ⣊ ⠝ ⢋ ⢕        2478 1345 1248 1358 123578 1348                  
925    01110011101  inhale    ⠊⠝⠓⠁⠇⠑    ⣊⠝⢓⡁⡇⣑    ⣊ ⠝ ⢓ ⡁        2478 1345 1258 17 1237 1578                      
926    01110011110  inherit   ⠊⠝⠓⠑⠗⠊⠞   ⣊⠝⢓⣑⣗⣊⠞   ⣊ ⠝ ⢓ ⣑        2478 1345 1258 1578 123578 2478 2345             
927    01110011111  initial   ⠊⠝⠊⠞⠊⠁⠇   ⣊⠝⣊⠞⣊⡁⡇   ⣊ ⠝ ⣊ ⠞        2478 1345 2478 2345 2478 17 1237                 
928    01110100000  inject    ⠊⠝⠚⠑⠉⠞    ⣊⠝⡚⣑⣉⠞    ⣊ ⠝ ⡚ ⣑        2478 1345 2457 1578 1478 2345                    
929    01110100001  injury    ⠊⠝⠚⠥⠗⠽    ⣊⠝⡚⢥⣗⢽    ⣊ ⠝ ⡚ ⢥        2478 1345 2457 1368 123578 134568                
930    01110100010  inmate    ⠊⠝⠍⠁⠞⠑    ⣊⠝⢍⡁⠞⣑    ⣊ ⠝ ⢍ ⡁        2478 1345 1348 17 2345 1578                      
931    01110100011  inner     ⠊⠝⠝⠑⠗     ⣊⠝⠝⣑⣗     ⣊ ⠝ ⠝ ⣑        2478 1345 1345 1578 123578                       
932    01110100100  innocent  ⠊⠝⠝⠕⠉⠑⠝⠞  ⣊⠝⠝⢕⣉⣑⠝⠞  ⣊ ⠝ ⠝ ⢕        2478 1345 1345 1358 1478 1578 1345 2345          
933    01110100101  input     ⠊⠝⠏⠥⠞     ⣊⠝⣏⢥⠞     ⣊ ⠝ ⣏ ⢥        2478 1345 123478 1368 2345                       
934    01110100110  inquiry   ⠊⠝⠟⠥⠊⠗⠽   ⣊⠝⡟⢥⣊⣗⢽   ⣊ ⠝ ⡟ ⢥        2478 1345 123457 1368 2478 123578 134568         
935    01110100111  insane    ⠊⠝⠎⠁⠝⠑    ⣊⠝⢎⡁⠝⣑    ⣊ ⠝ ⢎ ⡁        2478 1345 2348 17 1345 1578                      
936    01110101000  insect    ⠊⠝⠎⠑⠉⠞    ⣊⠝⢎⣑⣉⠞    ⣊ ⠝ ⢎ ⣑        2478 1345 2348 1578 1478 2345                    
937    01110101001  inside    ⠊⠝⠎⠊⠙⠑    ⣊⠝⢎⣊⡙⣑    ⣊ ⠝ ⢎ ⣊        2478 1345 2348 2478 1457 1578                    
938    01110101010  inspire   ⠊⠝⠎⠏⠊⠗⠑   ⣊⠝⢎⣏⣊⣗⣑   ⣊ ⠝ ⢎ ⣏        2478 1345 2348 123478 2478 123578 1578           
939    01110101011  install   ⠊⠝⠎⠞⠁⠇⠇   ⣊⠝⢎⠞⡁⡇⡇   ⣊ ⠝ ⢎ ⠞        2478 1345 2348 2345 17 1237 1237                 
940    01110101100  intact    ⠊⠝⠞⠁⠉⠞    ⣊⠝⠞⡁⣉⠞    ⣊ ⠝ ⠞ ⡁        2478 1345 2345 17 1478 2345                      
941    01110101101  interest  ⠊⠝⠞⠑⠗⠑⠎⠞  ⣊⠝⠞⣑⣗⣑⢎⠞  ⣊ ⠝ ⠞ ⣑        2478 1345 2345 1578 123578 1578 2348 2345        
942    01110101110  into      ⠊⠝⠞⠕      ⣊⠝⠞⢕      ⣊ ⠝ ⠞ ⢕        2478 1345 2345 1358                              
943    01110101111  invest    ⠊⠝⠧⠑⠎⠞    ⣊⠝⣧⣑⢎⠞    ⣊ ⠝ ⣧ ⣑        2478 1345 123678 1578 2348 2345                  
944    01110110000  invite    ⠊⠝⠧⠊⠞⠑    ⣊⠝⣧⣊⠞⣑    ⣊ ⠝ ⣧ ⣊        2478 1345 123678 2478 2345 1578                  
945    01110110001  involve   ⠊⠝⠧⠕⠇⠧⠑   ⣊⠝⣧⢕⡇⣧⣑   ⣊ ⠝ ⣧ ⢕        2478 1345 123678 1358 1237 123678 1578           
946    01110110010  iron      ⠊⠗⠕⠝      ⣊⣗⢕⠝      ⣊ ⣗ ⢕ ⠝        2478 123578 1358 1345                            
947    01110110011  island    ⠊⠎⠇⠁⠝⠙    ⣊⢎⡇⡁⠝⡙    ⣊ ⢎ ⡇ ⡁        2478 2348 1237 17 1345 1457                      
948    01110110100  isolate   ⠊⠎⠕⠇⠁⠞⠑   ⣊⢎⢕⡇⡁⠞⣑   ⣊ ⢎ ⢕ ⡇        2478 2348 1358 1237 17 2345 1578                 
949    01110110101  issue     ⠊⠎⠎⠥⠑     ⣊⢎⢎⢥⣑     ⣊ ⢎ ⢎ ⢥        2478 2348 2348 1368 1578                         
950    01110110110  item      ⠊⠞⠑⠍      ⣊⠞⣑⢍      ⣊ ⠞ ⣑ ⢍        2478 2345 1578 1348                              
951    01110110111  ivory     ⠊⠧⠕⠗⠽     ⣊⣧⢕⣗⢽     ⣊ ⣧ ⢕ ⣗        2478 123678 1358 123578 134568                   
952    01110111000  jacket    ⠚⠁⠉⠅⠑⠞    ⡚⡁⣉⠅⣑⠞    ⡚ ⡁ ⣉ ⠅        2457 17 1478 13 1578 2345                        
953    01110111001  jaguar    ⠚⠁⠛⠥⠁⠗    ⡚⡁⠛⢥⡁⣗    ⡚ ⡁ ⠛ ⢥        2457 17 1245 1368 17 123578                      
954    01110111010  jar       ⠚⠁⠗       ⡚⡁⣗       ⡚ ⡁ ⣗          2457 17 123578                                   
955    01110111011  jazz      ⠚⠁⠵⠵      ⡚⡁⠵⠵      ⡚ ⡁ ⠵ ⠵        2457 17 1356 1356                                
956    01110111100  jealous   ⠚⠑⠁⠇⠕⠥⠎   ⡚⣑⡁⡇⢕⢥⢎   ⡚ ⣑ ⡁ ⡇        2457 1578 17 1237 1358 1368 2348                 
957    01110111101  jeans     ⠚⠑⠁⠝⠎     ⡚⣑⡁⠝⢎     ⡚ ⣑ ⡁ ⠝        2457 1578 17 1345 2348                           
958    01110111110  jelly     ⠚⠑⠇⠇⠽     ⡚⣑⡇⡇⢽     ⡚ ⣑ ⡇ ⡇        2457 1578 1237 1237 134568                       
959    01110111111  jewel     ⠚⠑⠺⠑⠇     ⡚⣑⣺⣑⡇     ⡚ ⣑ ⣺ ⣑        2457 1578 245678 1578 1237                       
960    01111000000  job       ⠚⠕⠃       ⡚⢕⠃       ⡚ ⢕ ⠃          2457 1358 12                                     
961    01111000001  join      ⠚⠕⠊⠝      ⡚⢕⣊⠝      ⡚ ⢕ ⣊ ⠝        2457 1358 2478 1345                              
962    01111000010  joke      ⠚⠕⠅⠑      ⡚⢕⠅⣑      ⡚ ⢕ ⠅ ⣑        2457 1358 13 1578                                
963    01111000011  journey   ⠚⠕⠥⠗⠝⠑⠽   ⡚⢕⢥⣗⠝⣑⢽   ⡚ ⢕ ⢥ ⣗        2457 1358 1368 123578 1345 1578 134568           
964    01111000100  joy       ⠚⠕⠽       ⡚⢕⢽       ⡚ ⢕ ⢽          2457 1358 134568                                 
965    01111000101  judge     ⠚⠥⠙⠛⠑     ⡚⢥⡙⠛⣑     ⡚ ⢥ ⡙ ⠛        2457 1368 1457 1245 1578                         
966    01111000110  juice     ⠚⠥⠊⠉⠑     ⡚⢥⣊⣉⣑     ⡚ ⢥ ⣊ ⣉        2457 1368 2478 1478 1578                         
967    01111000111  jump      ⠚⠥⠍⠏      ⡚⢥⢍⣏      ⡚ ⢥ ⢍ ⣏        2457 1368 1348 123478                            
968    01111001000  jungle    ⠚⠥⠝⠛⠇⠑    ⡚⢥⠝⠛⡇⣑    ⡚ ⢥ ⠝ ⠛        2457 1368 1345 1245 1237 1578                    
969    01111001001  junior    ⠚⠥⠝⠊⠕⠗    ⡚⢥⠝⣊⢕⣗    ⡚ ⢥ ⠝ ⣊        2457 1368 1345 2478 1358 123578                  
970    01111001010  junk      ⠚⠥⠝⠅      ⡚⢥⠝⠅      ⡚ ⢥ ⠝ ⠅        2457 1368 1345 13                                
971    01111001011  just      ⠚⠥⠎⠞      ⡚⢥⢎⠞      ⡚ ⢥ ⢎ ⠞        2457 1368 2348 2345                              
972    01111001100  kangaroo  ⠅⠁⠝⠛⠁⠗⠕⠕  ⠅⡁⠝⠛⡁⣗⢕⢕  ⠅ ⡁ ⠝ ⠛        13 17 1345 1245 17 123578 1358 1358              
973    01111001101  keen      ⠅⠑⠑⠝      ⠅⣑⣑⠝      ⠅ ⣑ ⣑ ⠝        13 1578 1578 1345                                
974    01111001110  keep      ⠅⠑⠑⠏      ⠅⣑⣑⣏      ⠅ ⣑ ⣑ ⣏        13 1578 1578 123478                              
975    01111001111  ketchup   ⠅⠑⠞⠉⠓⠥⠏   ⠅⣑⠞⣉⢓⢥⣏   ⠅ ⣑ ⠞ ⣉        13 1578 2345 1478 1258 1368 123478               
976    01111010000  key       ⠅⠑⠽       ⠅⣑⢽       ⠅ ⣑ ⢽          13 1578 134568                                   
977    01111010001  kick      ⠅⠊⠉⠅      ⠅⣊⣉⠅      ⠅ ⣊ ⣉ ⠅        13 2478 1478 13                                  
978    01111010010  kid       ⠅⠊⠙       ⠅⣊⡙       ⠅ ⣊ ⡙          13 2478 1457                                     
979    01111010011  kidney    ⠅⠊⠙⠝⠑⠽    ⠅⣊⡙⠝⣑⢽    ⠅ ⣊ ⡙ ⠝        13 2478 1457 1345 1578 134568                    
980    01111010100  kind      ⠅⠊⠝⠙      ⠅⣊⠝⡙      ⠅ ⣊ ⠝ ⡙        13 2478 1345 1457                                
981    01111010101  kingdom   ⠅⠊⠝⠛⠙⠕⠍   ⠅⣊⠝⠛⡙⢕⢍   ⠅ ⣊ ⠝ ⠛        13 2478 1345 1245 1457 1358 1348                 
982    01111010110  kiss      ⠅⠊⠎⠎      ⠅⣊⢎⢎      ⠅ ⣊ ⢎ ⢎        13 2478 2348 2348                                
983    01111010111  kit       ⠅⠊⠞       ⠅⣊⠞       ⠅ ⣊ ⠞          13 2478 2345                                     
984    01111011000  kitchen   ⠅⠊⠞⠉⠓⠑⠝   ⠅⣊⠞⣉⢓⣑⠝   ⠅ ⣊ ⠞ ⣉        13 2478 2345 1478 1258 1578 1345                 
985    01111011001  kite      ⠅⠊⠞⠑      ⠅⣊⠞⣑      ⠅ ⣊ ⠞ ⣑        13 2478 2345 1578                                
986    01111011010  kitten    ⠅⠊⠞⠞⠑⠝    ⠅⣊⠞⠞⣑⠝    ⠅ ⣊ ⠞ ⠞        13 2478 2345 2345 1578 1345                      
987    01111011011  kiwi      ⠅⠊⠺⠊      ⠅⣊⣺⣊      ⠅ ⣊ ⣺ ⣊        13 2478 245678 2478                              
988    01111011100  knee      ⠅⠝⠑⠑      ⠅⠝⣑⣑      ⠅ ⠝ ⣑ ⣑        13 1345 1578 1578                                
989    01111011101  knife     ⠅⠝⠊⠋⠑     ⠅⠝⣊⢋⣑     ⠅ ⠝ ⣊ ⢋        13 1345 2478 1248 1578                           
990    01111011110  knock     ⠅⠝⠕⠉⠅     ⠅⠝⢕⣉⠅     ⠅ ⠝ ⢕ ⣉        13 1345 1358 1478 13                             
991    01111011111  know      ⠅⠝⠕⠺      ⠅⠝⢕⣺      ⠅ ⠝ ⢕ ⣺        13 1345 1358 245678                              
992    01111100000  lab       ⠇⠁⠃       ⡇⡁⠃       ⡇ ⡁ ⠃          1237 17 12                                       
993    01111100001  label     ⠇⠁⠃⠑⠇     ⡇⡁⠃⣑⡇     ⡇ ⡁ ⠃ ⣑        1237 17 12 1578 1237                             
994    01111100010  labor     ⠇⠁⠃⠕⠗     ⡇⡁⠃⢕⣗     ⡇ ⡁ ⠃ ⢕        1237 17 12 1358 123578                           
995    01111100011  ladder    ⠇⠁⠙⠙⠑⠗    ⡇⡁⡙⡙⣑⣗    ⡇ ⡁ ⡙ ⡙        1237 17 1457 1457 1578 123578                    
996    01111100100  lady      ⠇⠁⠙⠽      ⡇⡁⡙⢽      ⡇ ⡁ ⡙ ⢽        1237 17 1457 134568                              
997    01111100101  lake      ⠇⠁⠅⠑      ⡇⡁⠅⣑      ⡇ ⡁ ⠅ ⣑        1237 17 13 1578                                  
998    01111100110  lamp      ⠇⠁⠍⠏      ⡇⡁⢍⣏      ⡇ ⡁ ⢍ ⣏        1237 17 1348 123478                              
999    01111100111  language  ⠇⠁⠝⠛⠥⠁⠛⠑  ⡇⡁⠝⠛⢥⡁⠛⣑  ⡇ ⡁ ⠝ ⠛        1237 17 1345 1245 1368 17 1245 1578              
1000   01111101000  laptop    ⠇⠁⠏⠞⠕⠏    ⡇⡁⣏⠞⢕⣏    ⡇ ⡁ ⣏ ⠞        1237 17 123478 2345 1358 123478                  
1001   01111101001  large     ⠇⠁⠗⠛⠑     ⡇⡁⣗⠛⣑     ⡇ ⡁ ⣗ ⠛        1237 17 123578 1245 1578                         
1002   01111101010  later     ⠇⠁⠞⠑⠗     ⡇⡁⠞⣑⣗     ⡇ ⡁ ⠞ ⣑        1237 17 2345 1578 123578                         
1003   01111101011  latin     ⠇⠁⠞⠊⠝     ⡇⡁⠞⣊⠝     ⡇ ⡁ ⠞ ⣊        1237 17 2345 2478 1345                           
1004   01111101100  laugh     ⠇⠁⠥⠛⠓     ⡇⡁⢥⠛⢓     ⡇ ⡁ ⢥ ⠛        1237 17 1368 1245 1258                           
1005   01111101101  laundry   ⠇⠁⠥⠝⠙⠗⠽   ⡇⡁⢥⠝⡙⣗⢽   ⡇ ⡁ ⢥ ⠝        1237 17 1368 1345 1457 123578 134568             
1006   01111101110  lava      ⠇⠁⠧⠁      ⡇⡁⣧⡁      ⡇ ⡁ ⣧ ⡁        1237 17 123678 17                                
1007   01111101111  law       ⠇⠁⠺       ⡇⡁⣺       ⡇ ⡁ ⣺          1237 17 245678                                   
1008   01111110000  lawn      ⠇⠁⠺⠝      ⡇⡁⣺⠝      ⡇ ⡁ ⣺ ⠝        1237 17 245678 1345                              
1009   01111110001  lawsuit   ⠇⠁⠺⠎⠥⠊⠞   ⡇⡁⣺⢎⢥⣊⠞   ⡇ ⡁ ⣺ ⢎        1237 17 245678 2348 1368 2478 2345               
1010   01111110010  layer     ⠇⠁⠽⠑⠗     ⡇⡁⢽⣑⣗     ⡇ ⡁ ⢽ ⣑        1237 17 134568 1578 123578                       
1011   01111110011  lazy      ⠇⠁⠵⠽      ⡇⡁⠵⢽      ⡇ ⡁ ⠵ ⢽        1237 17 1356 134568                              
1012   01111110100  leader    ⠇⠑⠁⠙⠑⠗    ⡇⣑⡁⡙⣑⣗    ⡇ ⣑ ⡁ ⡙        1237 1578 17 1457 1578 123578                    
1013   01111110101  leaf      ⠇⠑⠁⠋      ⡇⣑⡁⢋      ⡇ ⣑ ⡁ ⢋        1237 1578 17 1248                                
1014   01111110110  learn     ⠇⠑⠁⠗⠝     ⡇⣑⡁⣗⠝     ⡇ ⣑ ⡁ ⣗        1237 1578 17 123578 1345                         
1015   01111110111  leave     ⠇⠑⠁⠧⠑     ⡇⣑⡁⣧⣑     ⡇ ⣑ ⡁ ⣧        1237 1578 17 123678 1578                         
1016   01111111000  lecture   ⠇⠑⠉⠞⠥⠗⠑   ⡇⣑⣉⠞⢥⣗⣑   ⡇ ⣑ ⣉ ⠞        1237 1578 1478 2345 1368 123578 1578             
1017   01111111001  left      ⠇⠑⠋⠞      ⡇⣑⢋⠞      ⡇ ⣑ ⢋ ⠞        1237 1578 1248 2345                              
1018   01111111010  leg       ⠇⠑⠛       ⡇⣑⠛       ⡇ ⣑ ⠛          1237 1578 1245                                   
1019   01111111011  legal     ⠇⠑⠛⠁⠇     ⡇⣑⠛⡁⡇     ⡇ ⣑ ⠛ ⡁        1237 1578 1245 17 1237                           
1020   01111111100  legend    ⠇⠑⠛⠑⠝⠙    ⡇⣑⠛⣑⠝⡙    ⡇ ⣑ ⠛ ⣑        1237 1578 1245 1578 1345 1457                    
1021   01111111101  leisure   ⠇⠑⠊⠎⠥⠗⠑   ⡇⣑⣊⢎⢥⣗⣑   ⡇ ⣑ ⣊ ⢎        1237 1578 2478 2348 1368 123578 1578             
1022   01111111110  lemon     ⠇⠑⠍⠕⠝     ⡇⣑⢍⢕⠝     ⡇ ⣑ ⢍ ⢕        1237 1578 1348 1358 1345                         
1023   01111111111  lend      ⠇⠑⠝⠙      ⡇⣑⠝⡙      ⡇ ⣑ ⠝ ⡙        1237 1578 1345 1457                              
1024   10000000000  length    ⠇⠑⠝⠛⠞⠓    ⡇⣑⠝⠛⠞⢓    ⡇ ⣑ ⠝ ⠛        1237 1578 1345 1245 2345 1258                    
1025   10000000001  lens      ⠇⠑⠝⠎      ⡇⣑⠝⢎      ⡇ ⣑ ⠝ ⢎        1237 1578 1345 2348                              
1026   10000000010  leopard   ⠇⠑⠕⠏⠁⠗⠙   ⡇⣑⢕⣏⡁⣗⡙   ⡇ ⣑ ⢕ ⣏        1237 1578 1358 123478 17 123578 1457             
1027   10000000011  lesson    ⠇⠑⠎⠎⠕⠝    ⡇⣑⢎⢎⢕⠝    ⡇ ⣑ ⢎ ⢎        1237 1578 2348 2348 1358 1345                    
1028   10000000100  letter    ⠇⠑⠞⠞⠑⠗    ⡇⣑⠞⠞⣑⣗    ⡇ ⣑ ⠞ ⠞        1237 1578 2345 2345 1578 123578                  
1029   10000000101  level     ⠇⠑⠧⠑⠇     ⡇⣑⣧⣑⡇     ⡇ ⣑ ⣧ ⣑        1237 1578 123678 1578 1237                       
1030   10000000110  liar      ⠇⠊⠁⠗      ⡇⣊⡁⣗      ⡇ ⣊ ⡁ ⣗        1237 2478 17 123578                              
1031   10000000111  liberty   ⠇⠊⠃⠑⠗⠞⠽   ⡇⣊⠃⣑⣗⠞⢽   ⡇ ⣊ ⠃ ⣑        1237 2478 12 1578 123578 2345 134568             
1032   10000001000  library   ⠇⠊⠃⠗⠁⠗⠽   ⡇⣊⠃⣗⡁⣗⢽   ⡇ ⣊ ⠃ ⣗        1237 2478 12 123578 17 123578 134568             
1033   10000001001  license   ⠇⠊⠉⠑⠝⠎⠑   ⡇⣊⣉⣑⠝⢎⣑   ⡇ ⣊ ⣉ ⣑        1237 2478 1478 1578 1345 2348 1578               
1034   10000001010  life      ⠇⠊⠋⠑      ⡇⣊⢋⣑      ⡇ ⣊ ⢋ ⣑        1237 2478 1248 1578                              
1035   10000001011  lift      ⠇⠊⠋⠞      ⡇⣊⢋⠞      ⡇ ⣊ ⢋ ⠞        1237 2478 1248 2345                              
1036   10000001100  light     ⠇⠊⠛⠓⠞     ⡇⣊⠛⢓⠞     ⡇ ⣊ ⠛ ⢓        1237 2478 1245 1258 2345                         
1037   10000001101  like      ⠇⠊⠅⠑      ⡇⣊⠅⣑      ⡇ ⣊ ⠅ ⣑        1237 2478 13 1578                                
1038   10000001110  limb      ⠇⠊⠍⠃      ⡇⣊⢍⠃      ⡇ ⣊ ⢍ ⠃        1237 2478 1348 12                                
1039   10000001111  limit     ⠇⠊⠍⠊⠞     ⡇⣊⢍⣊⠞     ⡇ ⣊ ⢍ ⣊        1237 2478 1348 2478 2345                         
1040   10000010000  link      ⠇⠊⠝⠅      ⡇⣊⠝⠅      ⡇ ⣊ ⠝ ⠅        1237 2478 1345 13                                
1041   10000010001  lion      ⠇⠊⠕⠝      ⡇⣊⢕⠝      ⡇ ⣊ ⢕ ⠝        1237 2478 1358 1345                              
1042   10000010010  liquid    ⠇⠊⠟⠥⠊⠙    ⡇⣊⡟⢥⣊⡙    ⡇ ⣊ ⡟ ⢥        1237 2478 123457 1368 2478 1457                  
1043   10000010011  list      ⠇⠊⠎⠞      ⡇⣊⢎⠞      ⡇ ⣊ ⢎ ⠞        1237 2478 2348 2345                              
1044   10000010100  little    ⠇⠊⠞⠞⠇⠑    ⡇⣊⠞⠞⡇⣑    ⡇ ⣊ ⠞ ⠞        1237 2478 2345 2345 1237 1578                    
1045   10000010101  live      ⠇⠊⠧⠑      ⡇⣊⣧⣑      ⡇ ⣊ ⣧ ⣑        1237 2478 123678 1578                            
1046   10000010110  lizard    ⠇⠊⠵⠁⠗⠙    ⡇⣊⠵⡁⣗⡙    ⡇ ⣊ ⠵ ⡁        1237 2478 1356 17 123578 1457                    
1047   10000010111  load      ⠇⠕⠁⠙      ⡇⢕⡁⡙      ⡇ ⢕ ⡁ ⡙        1237 1358 17 1457                                
1048   10000011000  loan      ⠇⠕⠁⠝      ⡇⢕⡁⠝      ⡇ ⢕ ⡁ ⠝        1237 1358 17 1345                                
1049   10000011001  lobster   ⠇⠕⠃⠎⠞⠑⠗   ⡇⢕⠃⢎⠞⣑⣗   ⡇ ⢕ ⠃ ⢎        1237 1358 12 2348 2345 1578 123578               
1050   10000011010  local     ⠇⠕⠉⠁⠇     ⡇⢕⣉⡁⡇     ⡇ ⢕ ⣉ ⡁        1237 1358 1478 17 1237                           
1051   10000011011  lock      ⠇⠕⠉⠅      ⡇⢕⣉⠅      ⡇ ⢕ ⣉ ⠅        1237 1358 1478 13                                
1052   10000011100  logic     ⠇⠕⠛⠊⠉     ⡇⢕⠛⣊⣉     ⡇ ⢕ ⠛ ⣊        1237 1358 1245 2478 1478                         
1053   10000011101  lonely    ⠇⠕⠝⠑⠇⠽    ⡇⢕⠝⣑⡇⢽    ⡇ ⢕ ⠝ ⣑        1237 1358 1345 1578 1237 134568                  
1054   10000011110  long      ⠇⠕⠝⠛      ⡇⢕⠝⠛      ⡇ ⢕ ⠝ ⠛        1237 1358 1345 1245                              
1055   10000011111  loop      ⠇⠕⠕⠏      ⡇⢕⢕⣏      ⡇ ⢕ ⢕ ⣏        1237 1358 1358 123478                            
1056   10000100000  lottery   ⠇⠕⠞⠞⠑⠗⠽   ⡇⢕⠞⠞⣑⣗⢽   ⡇ ⢕ ⠞ ⠞        1237 1358 2345 2345 1578 123578 134568           
1057   10000100001  loud      ⠇⠕⠥⠙      ⡇⢕⢥⡙      ⡇ ⢕ ⢥ ⡙        1237 1358 1368 1457                              
1058   10000100010  lounge    ⠇⠕⠥⠝⠛⠑    ⡇⢕⢥⠝⠛⣑    ⡇ ⢕ ⢥ ⠝        1237 1358 1368 1345 1245 1578                    
1059   10000100011  love      ⠇⠕⠧⠑      ⡇⢕⣧⣑      ⡇ ⢕ ⣧ ⣑        1237 1358 123678 1578                            
1060   10000100100  loyal     ⠇⠕⠽⠁⠇     ⡇⢕⢽⡁⡇     ⡇ ⢕ ⢽ ⡁        1237 1358 134568 17 1237                         
1061   10000100101  lucky     ⠇⠥⠉⠅⠽     ⡇⢥⣉⠅⢽     ⡇ ⢥ ⣉ ⠅        1237 1368 1478 13 134568                         
1062   10000100110  luggage   ⠇⠥⠛⠛⠁⠛⠑   ⡇⢥⠛⠛⡁⠛⣑   ⡇ ⢥ ⠛ ⠛        1237 1368 1245 1245 17 1245 1578                 
1063   10000100111  lumber    ⠇⠥⠍⠃⠑⠗    ⡇⢥⢍⠃⣑⣗    ⡇ ⢥ ⢍ ⠃        1237 1368 1348 12 1578 123578                    
